New Run at  07/14/2017 15:39:43
, Time, RandomReward; N_LinUCBReward; 
data,1209592800000,5;2847;32
data,1209592800000,5;3320;32
data,1209592800000,5;3345;32
data,1209592800000,5;3359;32
data,1209592800000,5;3385;32
data,1209592800000,6;3396;32
data,1209592800000,6;3413;33
data,1209592800000,6;992;33
data,1209592800000,6;3453;34
data,1209592800000,6;3481;34
data,1209592800000,6;3500;34
data,1209592800000,6;3508;34
data,1209592800000,6;3520;34
data,1209592800000,6;2646;35
data,1209592800000,6;3562;35
data,1209592800000,6;3568;35
data,1209592800000,6;2076;35
data,1209592800000,6;1827;36
data,1212271200000,6;3615;37
data,1285884000000,6;3637;37
data,1291158000000,6;3652;37
data,1264978800000,6;3674;37
data,1264978800000,6;3687;37
data,1264978800000,6;3714;37
data,1264978800000,6;3723;37
data,1264978800000,6;3742;37
data,1264978800000,6;3768;37
data,1264978800000,7;496;37
data,1264978800000,7;885;37
data,1264978800000,7;2938;37
data,1264978800000,8;3840;37
data,1264978800000,8;3858;37
data,1264978800000,8;3868;37
data,1264978800000,8;3887;37
data,1264978800000,8;2362;37
data,1264978800000,8;3919;37
data,1264978800000,9;3481;37
data,1264978800000,9;3945;37
data,1264978800000,9;1798;37
data,1264978800000,9;1785;37
data,1264978800000,9;1572;38
data,1264978800000,9;4014;38
data,1264978800000,9;4037;38
data,1264978800000,9;4053;38
data,1264978800000,9;4073;38
data,1264978800000,10;323;39
data,1264978800000,10;4110;39
data,1264978800000,10;4119;40
data,1264978800000,10;4138;40
data,1264978800000,10;4152;40
data,1264978800000,10;4176;40
data,1264978800000,10;4199;40
data,1264978800000,10;3537;41
data,1264978800000,10;285;41
data,1264978800000,10;4258;41
data,1264978800000,10;4267;41
data,1264978800000,10;2742;41
data,1264978800000,11;4306;41
data,1264978800000,11;4320;41
data,1264978800000,11;3119;41
data,1264978800000,11;890;41
data,1264978800000,11;4371;41
data,1264978800000,11;3154;41
data,1264978800000,11;4392;41
data,1264978800000,11;2049;41
data,1264978800000,11;4424;41
data,1264978800000,11;4430;42
data,1264978800000,11;4443;43
data,1264978800000,11;4458;44
data,1264978800000,11;1284;44
data,1264978800000,11;4495;45
data,1264978800000,11;2828;46
data,1264978800000,11;4536;46
data,1264978800000,11;4545;47
data,1264978800000,11;3200;47
data,1264978800000,11;4586;47
data,1264978800000,11;4597;47
data,1264978800000,11;2286;47
data,1264978800000,11;4271;47
data,1264978800000,11;3797;47
data,1264978800000,11;4656;48
data,1264978800000,11;4679;48
data,1264978800000,11;4690;49
data,1264978800000,11;4715;49
data,1264978800000,11;1058;49
data,1264978800000,11;4742;49
data,1264978800000,11;4751;50
data,1264978800000,11;2241;51
data,1264978800000,11;4780;52
data,1264978800000,11;3822;52
data,1264978800000,11;4813;52
data,1264978800000,11;2317;52
data,1264978800000,11;4852;52
data,1264978800000,11;3377;52
data,1264978800000,11;4876;52
data,1264978800000,11;4891;52
data,1264978800000,11;4902;52
data,1264978800000,11;596;52
data,1264978800000,11;1236;53
data,1264978800000,11;614;53
data,1264978800000,11;4959;53
data,1264978800000,11;1695;53
data,1264978800000,12;105;53
data,1264978800000,12;5007;54
data,1264978800000,12;3124;54
data,1264978800000,12;2529;55
data,1264978800000,12;5054;55
data,1264978800000,12;5064;56
data,1264978800000,12;1688;56
data,1264978800000,12;3099;56
data,1264978800000,12;5114;56
data,1264978800000,12;5134;56
data,1264978800000,12;5146;56
data,1264978800000,13;5164;56
data,1264978800000,13;3148;56
data,1264978800000,13;1597;56
data,1264978800000,13;3747;56
data,1264978800000,14;2867;57
data,1264978800000,14;5245;57
data,1264978800000,14;5247;58
data,1264978800000,14;4456;58
data,1264978800000,14;916;58
data,1264978800000,14;310;58
data,1264978800000,14;5301;59
data,1264978800000,14;5314;59
data,1264978800000,14;2420;59
data,1264978800000,14;3484;59
data,1264978800000,14;5378;59
data,1264978800000,14;5386;59
data,1264978800000,14;5405;59
data,1264978800000,14;2789;60
data,1264978800000,14;3403;60
data,1264978800000,14;5450;60
data,1264978800000,14;5460;60
data,1264978800000,14;458;60
data,1264978800000,14;5487;61
data,1264978800000,14;2093;61
data,1264978800000,14;5526;61
data,1264978800000,14;5535;61
data,1264978800000,14;4023;61
data,1264978800000,14;2286;61
data,1264978800000,14;5571;62
data,1264978800000,14;5588;63
data,1264978800000,14;3045;64
data,1264978800000,14;5622;64
data,1264978800000,14;5642;64
data,1264978800000,14;5656;64
data,1264978800000,14;5661;64
data,1264978800000,14;5673;64
data,1264978800000,14;5105;64
data,1264978800000,14;5689;65
data,1264978800000,14;2646;66
data,1264978800000,15;5720;66
data,1264978800000,15;5732;66
data,1264978800000,15;5752;66
data,1264978800000,15;5763;66
data,1267398000000,15;5769;67
data,1267398000000,15;5256;67
data,1267398000000,15;327;67
data,1267398000000,15;5810;67
data,1267398000000,15;11;68
data,1267398000000,15;593;68
data,1267398000000,15;4461;68
data,1267398000000,15;5856;68
data,1267398000000,15;4972;69
data,1267398000000,15;5879;69
data,1267398000000,15;5897;69
data,1267398000000,15;5913;69
data,1270072800000,15;5915;70
data,1270072800000,15;1657;70
data,1272664800000,15;5946;70
data,1272664800000,15;3045;71
data,1272664800000,15;3963;71
data,1272664800000,15;3698;71
data,1272664800000,15;548;71
data,1272664800000,15;6023;71
data,1272664800000,15;4887;71
data,1272664800000,15;154;71
data,1272664800000,15;1062;71
data,1272664800000,15;6077;71
data,1272664800000,15;6093;71
data,1272664800000,15;125;71
data,1272664800000,15;6119;71
data,1272664800000,15;6131;71
data,1272664800000,15;6137;71
data,1272664800000,15;3872;71
data,1272664800000,15;24;71
data,1272664800000,16;5792;71
data,1272664800000,16;6188;71
data,1272664800000,16;6208;71
data,1272664800000,16;997;71
data,1272664800000,16;5256;71
data,1272664800000,16;6246;71
data,1272664800000,16;1710;71
data,1272664800000,16;1317;71
data,1272664800000,16;6285;71
data,1272664800000,16;1704;72
data,1272664800000,16;5067;72
data,1272664800000,16;1083;73
data,1272664800000,16;6323;74
data,1275343200000,16;596;74
data,1275343200000,16;6359;74
data,1277935200000,16;3831;74
data,1277935200000,16;3810;74
data,1280613600000,16;6403;74
data,1280613600000,16;1474;74
data,1280613600000,16;6422;75
data,1280613600000,16;4715;75
data,1280613600000,16;4138;75
data,1280613600000,16;4876;75
data,1280613600000,16;6478;75
data,1280613600000,16;6482;76
data,1280613600000,16;5055;76
data,1280613600000,16;6511;76
data,1280613600000,16;2120;77
data,1280613600000,16;6537;77
data,1280613600000,16;5450;77
data,1280613600000,16;6561;78
data,1283292000000,16;3312;78
data,1285884000000,16;4887;78
data,1285884000000,16;6604;78
data,1285884000000,16;6615;79
data,1285884000000,16;6625;80
data,1285884000000,16;6636;81
data,1285884000000,16;1836;82
data,1285884000000,16;6656;83
data,1285884000000,16;6673;83
data,1285884000000,16;2716;83
data,1285884000000,16;2147;83
data,1285884000000,16;3475;83
data,1285884000000,16;6714;84
data,1285884000000,16;918;84
data,1285884000000,16;6736;84
data,1285884000000,16;6743;84
data,1285884000000,16;541;85
data,1288566000000,16;869;85
data,1288566000000,16;6777;86
data,1288566000000,16;6790;86
data,1288566000000,16;1499;86
data,1288566000000,16;6814;86
data,1288566000000,16;6837;86
data,1288566000000,16;2358;86
data,1288566000000,16;2681;87
data,1291158000000,16;3818;87
data,1291158000000,16;2251;87
data,1291158000000,16;6887;88
data,1291158000000,16;6907;88
data,1291158000000,16;5068;88
data,1291158000000,16;6929;88
data,1291158000000,16;2953;88
data,1291158000000,16;6950;88
data,1291158000000,16;2377;88
data,1291158000000,16;4190;88
data,1291158000000,16;3231;89
data,1291158000000,16;6996;90
data,1291158000000,16;2737;91
data,1291158000000,16;7026;91
data,1291158000000,16;371;91
data,1291158000000,16;7057;91
data,1291158000000,16;7058;92
data,1291158000000,16;3373;92
data,1291158000000,16;2355;93
data,1291158000000,17;3899;93
data,1291158000000,17;7111;94
data,1293836400000,17;7127;94
data,1293836400000,17;7144;94
data,1293836400000,17;7155;94
data,1293836400000,17;7160;95
data,1293836400000,17;7111;96
data,1293836400000,17;7183;96
data,1293836400000,17;7196;96
data,1293836400000,17;327;96
data,1293836400000,17;7211;97
data,1293836400000,17;3860;97
data,1293836400000,17;2706;97
data,1293836400000,17;7246;98
data,1293836400000,17;7260;98
data,1293836400000,17;3144;99
data,1293836400000,17;7278;99
data,1293836400000,17;1901;99
data,1293836400000,17;2380;99
data,1293836400000,17;1322;99
data,1293836400000,17;5048;99
data,1296514800000,17;899;99
data,1296514800000,17;7327;100
data,1298934000000,17;3438;100
data,1298934000000,17;7350;100
data,1298934000000,17;3860;100
data,1298934000000,17;7378;100
data,1304596135526,17;3523;100
data,1212271200000,17;4896;100
data,1212271200000,17;7410;100
data,1212271200000,17;7426;100
data,1212271200000,17;6595;100
data,1212271200000,17;7441;100
data,1212271200000,17;7460;100
data,1212271200000,17;7466;100
data,1212271200000,17;7472;101
data,1212271200000,17;1437;101
data,1212271200000,17;7495;102
data,1212271200000,17;4551;103
data,1212271200000,17;7515;103
data,1212271200000,17;7140;104
data,1212271200000,17;4165;105
data,1212271200000,17;2763;106
data,1212271200000,17;7544;106
data,1212271200000,17;7556;106
data,1212271200000,17;7566;107
data,1212271200000,17;5192;108
data,1212271200000,17;5851;108
data,1212271200000,17;1639;109
data,1212271200000,17;7605;110
data,1212271200000,17;1020;111
data,1212271200000,17;7624;112
data,1212271200000,17;7643;112
data,1212271200000,17;3442;113
data,1212271200000,17;4207;113
data,1212271200000,17;6242;113
data,1212271200000,17;6772;113
data,1212271200000,17;7677;114
data,1212271200000,17;4497;115
data,1212271200000,18;5358;115
data,1212271200000,18;2927;116
data,1212271200000,18;6667;117
data,1212271200000,18;7716;118
data,1212271200000,18;322;119
data,1212271200000,18;7735;120
data,1212271200000,18;6232;120
data,1212271200000,18;7754;121
data,1212271200000,18;2362;121
data,1212271200000,18;7775;122
data,1212271200000,18;5930;123
data,1212271200000,18;2266;124
data,1212271200000,18;5490;125
data,1212271200000,18;2991;125
data,1212271200000,18;5795;126
data,1212271200000,18;6467;126
data,1214863200000,18;7848;126
data,1214863200000,18;1302;127
data,1214863200000,18;7168;127
data,1214863200000,18;3335;127
data,1214863200000,18;7883;127
data,1217541600000,18;7892;127
data,1217541600000,18;2159;127
data,1217541600000,18;3179;127
data,1217541600000,18;1265;128
data,1217541600000,18;7037;128
data,1217541600000,18;2644;128
data,1217541600000,18;4451;128
data,1217541600000,18;6922;129
data,1217541600000,18;7963;130
data,1217541600000,18;7975;130
data,1217541600000,18;4568;130
data,1217541600000,18;422;130
data,1217541600000,18;6400;130
data,1217541600000,18;8011;131
data,1217541600000,18;4630;131
data,1217541600000,18;96;131
data,1217541600000,18;8042;131
data,1217541600000,18;8063;131
data,1217541600000,18;5622;131
data,1217541600000,18;3955;131
data,1217541600000,18;8081;131
data,1217541600000,18;8091;131
data,1217541600000,18;4502;131
data,1217541600000,18;7093;131
data,1217541600000,18;8110;131
data,1217541600000,18;181;131
data,1217541600000,18;8136;131
data,1217541600000,18;8139;131
data,1217541600000,18;8156;131
data,1217541600000,18;8041;131
data,1217541600000,18;1056;132
data,1217541600000,19;4532;133
data,1217541600000,20;1601;133
data,1217541600000,20;6647;133
data,1217541600000,20;3151;133
data,1217541600000,20;8211;133
data,1217541600000,20;7883;133
data,1217541600000,20;8230;133
data,1217541600000,20;1437;133
data,1217541600000,20;3285;133
data,1217541600000,20;8256;133
data,1217541600000,20;8264;133
data,1217541600000,20;8274;133
data,1217541600000,20;8287;133
data,1217541600000,20;6111;133
data,1217541600000,20;5718;133
data,1217541600000,20;8316;133
data,1217541600000,20;8324;133
data,1217541600000,20;8340;133
data,1217541600000,20;8355;133
data,1217541600000,20;8370;133
data,1217541600000,20;8375;133
data,1217541600000,20;4585;133
data,1217541600000,20;6732;133
data,1217541600000,20;8407;133
data,1217541600000,20;8416;133
data,1217541600000,20;8418;133
data,1217541600000,20;8431;133
data,1217541600000,20;8435;134
data,1220220000000,20;4361;134
data,1304596176284,20;6109;134
data,1304596177553,20;8466;134
data,1304596187726,20;8475;134
data,1304596191912,20;3566;134
data,1304596194417,20;2507;134
data,1304596197640,20;8491;134
data,1304596214214,20;8502;134
data,1304596215240,20;5800;134
data,1304596223989,20;8517;134
data,1304596226144,20;8522;134
data,1209592800000,20;7801;134
data,1209592800000,20;661;135
data,1209592800000,20;8550;135
data,1209592800000,20;7950;135
data,1212271200000,20;7777;135
data,1214863200000,20;3842;136
data,1222812000000,20;8572;136
data,1228086000000,20;7438;136
data,1228086000000,20;8592;136
data,1275343200000,20;8597;136
data,1275343200000,20;8606;136
data,1277935200000,20;8612;136
data,1277935200000,20;8460;136
data,1277935200000,20;8633;136
data,1277935200000,20;8640;136
data,1277935200000,20;8653;136
data,1277935200000,21;945;136
data,1277935200000,21;8665;136
data,1280613600000,21;1936;136
data,1280613600000,21;1228;136
data,1280613600000,21;8687;136
data,1280613600000,21;1052;136
data,1285884000000,21;8086;136
data,1285884000000,21;3398;136
data,1285884000000,21;4015;136
data,1285884000000,21;989;136
data,1285884000000,21;4630;136
data,1285884000000,22;3887;136
data,1285884000000,22;8438;136
data,1285884000000,23;6979;136
data,1285884000000,23;8530;136
data,1285884000000,23;3764;136
data,1285884000000,23;6797;136
data,1285884000000,23;2480;136
data,1285884000000,23;4436;136
data,1285884000000,23;5289;136
data,1285884000000,23;7325;136
data,1285884000000,23;8518;136
data,1285884000000,23;8815;136
data,1285884000000,23;7343;136
data,1285884000000,23;7300;136
data,1285884000000,23;8838;136
data,1285884000000,23;398;136
data,1285884000000,23;1820;136
data,1288566000000,23;7164;136
data,1288566000000,23;3860;136
data,1288566000000,23;1635;136
data,1288566000000,23;4237;136
data,1288566000000,23;2022;136
data,1288566000000,23;8880;136
data,1288566000000,23;8887;136
data,1288566000000,23;3503;136
data,1288566000000,23;7483;136
data,1291158000000,23;6819;136
data,1291158000000,23;8550;136
data,1291158000000,24;8917;136
data,1291158000000,24;8931;136
data,1291158000000,24;8739;136
data,1293836400000,24;8952;136
data,1293836400000,24;5289;136
data,1296514800000,24;3774;136
data,1296514800000,24;5786;137
data,1298934000000,24;8984;137
data,1304596239074,24;3714;137
data,1304596242695,24;7742;137
data,1304596260969,24;6168;137
data,1304596272248,24;9015;137
data,1304596273351,24;5876;137
data,1283292000000,24;1390;137
data,1283292000000,24;4705;137
data,1283292000000,24;3106;137
data,1283292000000,24;9046;137
data,1283292000000,24;863;137
data,1291158000000,24;9061;137
data,1291158000000,24;9077;137
data,1291158000000,24;1907;137
data,1291158000000,24;777;137
data,1291158000000,24;9097;137
data,1291158000000,24;9103;137
data,1293836400000,24;516;138
data,1293836400000,24;5470;139
data,1293836400000,24;516;140
data,1296514800000,24;5718;141
data,1296514800000,24;4168;142
data,1296514800000,24;245;143
data,1296514800000,24;5781;143
data,1296514800000,24;5470;144
data,1296514800000,24;8435;145
data,1296514800000,24;4958;146
data,1296514800000,24;8435;147
data,1296514800000,24;3103;148
data,1296514800000,24;721;148
data,1296514800000,24;8045;148
data,1296514800000,24;9190;148
data,1296514800000,24;516;149
data,1296514800000,24;1016;150
data,1296514800000,24;9180;151
data,1296514800000,24;5834;151
data,1296514800000,24;899;151
data,1296514800000,24;8517;151
data,1296514800000,24;131;152
data,1296514800000,24;8435;153
data,1296514800000,24;6513;153
data,1296514800000,24;4483;153
data,1296514800000,24;7735;153
data,1296514800000,24;1474;153
data,1296514800000,24;5101;153
data,1296514800000,25;4958;154
data,1296514800000,25;5625;154
data,1296514800000,25;131;155
data,1296514800000,25;9284;155
data,1296514800000,25;516;156
data,1296514800000,25;516;157
data,1296514800000,25;245;158
data,1296514800000,25;5470;159
data,1296514800000,25;4212;159
data,1298934000000,25;8435;160
data,1298934000000,25;8567;160
data,1298934000000,25;8435;161
data,1298934000000,25;1706;161
data,1298934000000,25;3127;162
data,1298934000000,25;516;163
data,1298934000000,25;2927;163
data,1298934000000,25;5851;164
data,1298934000000,25;7735;164
data,1298934000000,25;9048;164
data,1298934000000,25;1565;164
data,1298934000000,25;8435;165
data,1298934000000,25;516;166
data,1298934000000,25;3127;167
data,1298934000000,25;516;168
data,1298934000000,25;245;169
data,1298934000000,25;5224;170
data,1298934000000,25;3127;171
data,1298934000000,25;8435;172
data,1298934000000,25;5358;172
data,1298934000000,25;3127;173
data,1298934000000,25;5224;174
data,1298934000000,25;516;175
data,1298934000000,25;1016;176
data,1298934000000,25;3127;177
data,1298934000000,26;989;177
data,1298934000000,26;1018;177
data,1298934000000,26;9485;177
data,1298934000000,27;8435;178
data,1298934000000,28;4958;179
data,1298934000000,28;8435;180
data,1298934000000,28;3578;180
data,1298934000000,28;8880;180
data,1298934000000,28;3489;180
data,1298934000000,28;4681;180
data,1298934000000,28;9367;181
data,1298934000000,29;3127;182
data,1298934000000,29;8435;183
data,1298934000000,29;2349;183
data,1298934000000,29;245;184
data,1298934000000,29;245;185
data,1298934000000,29;2491;185
data,1298934000000,29;5718;186
data,1298934000000,29;3127;187
data,1298934000000,29;9367;188
data,1298934000000,29;516;189
data,1298934000000,29;516;190
data,1298934000000,29;9082;191
data,1298934000000,29;8435;192
data,1298934000000,29;1016;193
data,1298934000000,29;7197;194
data,1298934000000,30;2731;194
data,1304596429856,30;84;194
data,1304596429049,30;3688;194
data,1304596429840,30;5048;194
data,1304596429340,30;7430;195
data,1304596429357,30;9653;196
data,1304596429273,30;4108;196
data,1304596429090,30;6999;197
data,1304596429027,30;2111;198
data,1304596429182,30;9673;198
data,1304596429124,30;2049;198
data,1304596429232,30;7848;198
data,1304596429074,30;3014;198
data,1304596429107,30;3742;198
data,1304596432786,30;9653;199
data,1304596432553,30;6912;199
data,1304596432678,31;7366;199
data,1304596432586,31;5839;199
data,1304596432770,31;7430;200
data,1304596432803,31;9732;200
data,1304596432645,31;168;201
data,1304596432537,31;3275;202
data,1304596432517,31;2111;203
data,1304596432720,31;6702;204
data,1304596433427,31;6999;205
data,1304596433585,31;9367;206
data,1304596433519,31;9771;206
data,1304596433535,31;516;207
data,1304596433444,31;1843;207
data,1304596433477,31;5470;208
data,1304596433552,32;6702;209
data,1304596433461,32;5224;210
data,1304596433410,32;2111;211
data,1304596433569,32;5718;212
data,1304596433610,32;8435;213
data,1304596433502,32;3127;214
data,1304596433627,32;7775;214
data,1304596435600,32;6456;214
data,1304596435733,32;9837;214
data,1304596435617,32;9842;214
data,1304596435533,32;1744;214
data,1304596435658,32;6702;215
data,1304596435708,32;7430;216
data,1304596435492,32;3275;217
data,1304596436275,32;1350;217
data,1304596437731,32;4497;217
data,1304596437839,33;5358;217
data,1304596437806,33;5470;218
data,1304596437709,33;2111;219
data,1304596437773,33;4215;219
data,1304596437914,33;9905;219
data,1304596437823,33;2855;220
data,1304596438039,33;6702;221
data,1304596438097,33;9653;222
data,1304596438988,33;2111;223
data,1304596439121,33;7430;224
data,1304596439063,33;6702;225
data,1304596439030,33;6582;225
data,1304596439706,33;6702;226
data,1304596439046,33;4320;226
data,1304596439154,33;1562;226
data,1304596440312,33;2111;227
data,1304596440328,33;6702;228
data,1304596441769,33;7430;229
data,1304596441785,33;9966;229
data,1304596441752,33;6675;229
data,1304596443491,34;3127;230
data,1304596443467,34;5224;231
data,1304596443433,34;6702;232
data,1304596443398,34;2111;233
data,1304596443450,34;6402;233
data,1304596443416,34;4857;233
data,1304596443508,34;9653;234
data,1304596444469,34;7397;234
data,1304596444499,34;1241;234
data,1304596444482,34;7197;235
data,1304596445832,34;8435;236
data,1304596445848,34;7430;237
data,1304596445790,34;6568;237
data,1304596447147,34;3103;238
data,1304596447130,34;2111;239
data,1304596447971,34;6999;240
data,1304596447107,34;2855;241
data,1304596447938,34;9485;241
data,1304596447197,34;6702;242
data,1304596447954,34;3103;243
data,1304596447988,34;1016;244
data,1304596447288,34;9653;245
data,1304596447164,34;7197;246
data,1304596448138,34;7430;247
data,1304596448046,34;1101;247
data,1304596448154,34;8375;247
data,1304596448096,34;10107;247
data,1304596448063,34;3127;248
data,1304596448121,34;9367;249
data,1304596448029,34;5224;250
data,1304596448079,34;914;250
data,1304596448712,34;3275;251
data,1304596448013,34;245;252
data,1304596449570,34;3103;253
data,1304596449669,34;9653;254
data,1304596449636,34;7430;255
data,1304596450735,35;3095;255
data,1304596450723,35;3103;256
data,1304596450851,35;4327;256
data,1304596450835,35;8435;257
data,1304596450793,35;10177;257
data,1304596450244,35;3127;258
data,1304596450818,35;131;259
data,1304596450190,35;516;260
data,1304596450210,35;8435;261
data,1304596451393,35;1350;261
data,1304596453865,35;1016;262
data,1304596453832,35;6999;263
data,1304596453940,35;5536;263
data,1304596453973,35;7197;264
data,1304596453898,35;4313;264
data,1304596453815,35;5408;264
data,1304596453956,35;2855;265
data,1304596454023,35;6702;266
data,1304596454006,35;9141;266
data,1304596454065,35;6724;266
data,1304596455056,36;6999;267
data,1304596455088,36;6702;268
data,1304596455030,36;7197;269
data,1304596455014,36;9180;270
data,1304596455986,36;2111;271
data,1304596455072,36;6670;272
data,1304596455163,36;971;272
data,1304596456096,36;9802;272
data,1304596456112,36;9653;273
data,1304596456021,36;9802;273
data,1304596456079,37;7430;274
data,1304596458131,38;2111;275
data,1304596458194,39;3095;275
data,1304596458378,39;7197;276
data,1304596458393,39;6702;277
data,1304596458486,39;7430;278
data,1304596459127,39;6702;279
data,1304596459192,39;7430;280
data,1304596459079,39;2111;281
data,1304596459101,39;7160;281
data,1304596459209,40;9653;282
data,1304596459176,40;7205;282
data,1304596460233,40;4453;282
data,1304596460325,40;8788;282
data,1304596460341,40;566;282
data,1304596460217,40;5470;283
data,1304596460266,40;2855;284
data,1304596460283,40;7197;285
data,1304596460400,40;3868;285
data,1304596460125,40;9180;286
data,1304596460175,40;1168;286
data,1304596461199,40;7775;286
data,1304596461090,40;8820;286
data,1304596461215,40;6907;286
data,1304596461057,40;3103;287
data,1304596461182,40;8435;288
data,1304596461041,40;2111;289
data,1304596461787,40;6702;290
data,1304596461074,40;9180;291
data,1304596462417,40;2111;292
data,1304596462581,40;9653;293
data,1304596462547,40;7430;294
data,1304596462481,40;6702;295
data,1304596463257,40;10414;295
data,1304596463289,40;9653;296
data,1304596463272,40;5470;297
data,1304596463231,40;4915;297
data,1304596463164,40;76;297
data,1304596463198,40;6702;298
data,1304596463142,40;2111;299
data,1304596464697,40;1016;300
data,1304596465653,40;3127;301
data,1304596465575,40;2111;302
data,1304596467368,40;516;303
data,1304596467476,40;5856;303
data,1304596467385,40;10460;303
data,1304596467460,40;9490;303
data,1304596467351,40;7197;304
data,1304596468367,40;8503;304
data,1304596468307,40;9180;305
data,1304596468384,40;8665;305
data,1304596471272,40;3127;306
data,1304596471197,40;2111;307
data,1304596471214,40;6702;308
data,1304596471289,40;9653;309
data,1304596471231,40;8435;310
data,1304596471257,40;8502;310
data,1304596472879,40;6702;311
data,1304596472813,40;2111;312
data,1304596472970,40;7430;313
data,1304596472912,40;10516;313
data,1304596473004,40;9653;314
data,1304596474266,40;7566;314
data,1304596474361,40;9653;315
data,1304596475325,40;2111;316
data,1304596475451,40;7430;317
data,1304596475484,40;9653;318
data,1304596475368,40;6702;319
data,1304596476492,40;131;320
data,1304596476575,40;7430;321
data,1304596476425,40;6258;321
data,1304596476360,40;10561;321
