New Run at  07/14/2017 15:42:10
, Time, RandomReward; Master_ActiveReward; 
data,1209592800000,11;2847;32
data,1209592800000,11;3320;32
data,1209592800000,11;3345;32
data,1209592800000,11;3359;32
data,1209592800000,11;3385;32
data,1209592800000,11;3396;32
data,1209592800000,11;3413;33
data,1209592800000,11;992;33
data,1209592800000,11;3453;34
data,1209592800000,11;3481;34
data,1209592800000,11;3500;34
data,1209592800000,11;3508;34
data,1209592800000,11;3520;34
data,1209592800000,11;2646;35
data,1209592800000,11;3562;35
data,1209592800000,11;3568;35
data,1209592800000,11;2076;35
data,1209592800000,11;1827;36
data,1212271200000,11;3615;37
data,1285884000000,11;3637;37
data,1291158000000,11;3652;37
data,1264978800000,11;3674;37
data,1264978800000,11;3687;37
data,1264978800000,12;3714;37
data,1264978800000,12;3723;37
data,1264978800000,12;3742;37
data,1264978800000,12;3768;37
data,1264978800000,13;496;37
data,1264978800000,13;885;37
data,1264978800000,13;2938;37
data,1264978800000,13;3840;37
data,1264978800000,13;3858;37
data,1264978800000,13;3868;37
data,1264978800000,13;3887;37
data,1264978800000,13;2362;37
data,1264978800000,13;3919;37
data,1264978800000,13;3481;37
data,1264978800000,13;3945;37
data,1264978800000,13;1798;37
data,1264978800000,13;1785;37
data,1264978800000,13;1572;38
data,1264978800000,13;4014;38
data,1264978800000,13;4037;38
data,1264978800000,13;4053;38
data,1264978800000,13;4073;38
data,1264978800000,13;323;39
data,1264978800000,13;4110;39
data,1264978800000,13;4119;40
data,1264978800000,13;4138;40
data,1264978800000,13;4152;40
data,1264978800000,13;4176;40
data,1264978800000,13;4199;40
data,1264978800000,13;3537;41
data,1264978800000,13;285;41
data,1264978800000,13;4258;41
data,1264978800000,13;4267;41
data,1264978800000,13;2742;41
data,1264978800000,13;4306;41
data,1264978800000,13;4320;41
data,1264978800000,13;3119;41
data,1264978800000,13;890;41
data,1264978800000,14;4371;41
data,1264978800000,14;3154;41
data,1264978800000,14;4392;41
data,1264978800000,14;2049;41
data,1264978800000,14;4424;41
data,1264978800000,14;4430;42
data,1264978800000,14;4443;43
data,1264978800000,14;4458;44
data,1264978800000,14;1284;44
data,1264978800000,14;4495;45
data,1264978800000,14;2828;46
data,1264978800000,14;4536;46
data,1264978800000,14;4545;47
data,1264978800000,14;3200;47
data,1264978800000,14;4586;47
data,1264978800000,14;4597;47
data,1264978800000,15;2286;47
data,1264978800000,15;4271;47
data,1264978800000,15;3797;47
data,1264978800000,15;4656;48
data,1264978800000,15;4679;48
data,1264978800000,15;4690;49
data,1264978800000,15;4715;49
data,1264978800000,15;1058;49
data,1264978800000,15;4742;49
data,1264978800000,15;4751;50
data,1264978800000,15;2241;51
data,1264978800000,15;4780;52
data,1264978800000,15;3822;52
data,1264978800000,15;4813;52
data,1264978800000,16;2317;52
data,1264978800000,16;4852;52
data,1264978800000,16;3377;52
data,1264978800000,16;4876;52
data,1264978800000,16;4891;52
data,1264978800000,16;4902;52
data,1264978800000,17;596;52
data,1264978800000,17;1236;53
data,1264978800000,17;614;53
data,1264978800000,17;4959;53
data,1264978800000,17;1695;53
data,1264978800000,17;105;53
data,1264978800000,17;5007;54
data,1264978800000,17;3124;54
data,1264978800000,17;2529;55
data,1264978800000,17;5054;55
data,1264978800000,17;5064;56
data,1264978800000,17;1688;56
data,1264978800000,17;3099;56
data,1264978800000,17;5114;56
data,1264978800000,17;5134;56
data,1264978800000,17;5146;56
data,1264978800000,17;5164;56
data,1264978800000,17;3148;56
data,1264978800000,18;1597;56
data,1264978800000,18;3747;56
data,1264978800000,18;2867;57
data,1264978800000,18;5245;57
data,1264978800000,18;5247;58
data,1264978800000,18;4456;58
data,1264978800000,18;916;58
data,1264978800000,18;310;58
data,1264978800000,18;5301;59
data,1264978800000,18;5314;59
data,1264978800000,18;2420;59
data,1264978800000,19;3484;59
data,1264978800000,19;5378;59
data,1264978800000,19;5386;59
data,1264978800000,19;5405;59
data,1264978800000,19;2789;60
data,1264978800000,19;3403;60
data,1264978800000,19;5450;60
data,1264978800000,19;5460;60
data,1264978800000,19;458;60
data,1264978800000,19;5487;61
data,1264978800000,19;2093;61
data,1264978800000,19;5526;61
data,1264978800000,19;5535;61
data,1264978800000,19;4023;61
data,1264978800000,19;2286;61
data,1264978800000,19;5571;62
data,1264978800000,19;5588;63
data,1264978800000,19;3045;64
data,1264978800000,19;5622;64
data,1264978800000,19;5642;64
data,1264978800000,19;5656;64
data,1264978800000,19;5661;64
data,1264978800000,19;5673;64
data,1264978800000,19;5105;64
data,1264978800000,19;5689;65
data,1264978800000,19;2646;66
data,1264978800000,19;5720;66
data,1264978800000,19;5732;66
data,1264978800000,19;5752;66
data,1264978800000,19;5763;66
data,1267398000000,19;5769;67
data,1267398000000,19;5256;67
data,1267398000000,19;327;67
data,1267398000000,19;5810;67
data,1267398000000,19;11;68
data,1267398000000,19;593;68
data,1267398000000,19;4461;68
data,1267398000000,19;5856;68
data,1267398000000,19;4972;69
data,1267398000000,19;5879;69
data,1267398000000,19;5897;69
data,1267398000000,19;5913;69
data,1270072800000,19;5915;70
data,1270072800000,19;1657;70
data,1272664800000,19;5946;70
data,1272664800000,19;3045;71
data,1272664800000,19;3963;71
data,1272664800000,19;3698;71
data,1272664800000,19;548;71
data,1272664800000,19;6023;71
data,1272664800000,19;4887;71
data,1272664800000,19;154;71
data,1272664800000,19;1062;71
data,1272664800000,19;6077;71
data,1272664800000,19;6093;71
data,1272664800000,19;125;71
data,1272664800000,19;6119;71
data,1272664800000,19;6131;71
data,1272664800000,19;4891;71
data,1272664800000,19;3872;71
data,1272664800000,19;24;71
data,1272664800000,19;5792;71
data,1272664800000,19;6188;71
data,1272664800000,19;6208;71
data,1272664800000,19;997;71
data,1272664800000,19;5256;71
data,1272664800000,20;6246;71
data,1272664800000,20;1710;71
data,1272664800000,20;1317;71
data,1272664800000,20;6285;71
data,1272664800000,20;1704;72
data,1272664800000,20;5067;72
data,1272664800000,20;1083;73
data,1272664800000,20;6323;74
data,1275343200000,20;596;74
data,1275343200000,20;6359;74
data,1277935200000,20;3831;74
data,1277935200000,20;3810;74
data,1280613600000,20;6403;74
data,1280613600000,20;1474;74
data,1280613600000,20;6422;75
data,1280613600000,20;4715;75
data,1280613600000,20;4138;75
data,1280613600000,20;4876;75
data,1280613600000,20;6478;75
data,1280613600000,20;6482;76
data,1280613600000,20;5055;76
data,1280613600000,20;6511;76
data,1280613600000,20;2120;77
data,1280613600000,20;6537;77
data,1280613600000,20;5450;77
data,1280613600000,20;6561;78
data,1283292000000,20;3312;78
data,1285884000000,20;4887;78
data,1285884000000,20;6604;78
data,1285884000000,20;6615;79
data,1285884000000,20;6625;80
data,1285884000000,20;6636;81
data,1285884000000,20;1836;82
data,1285884000000,20;6656;83
data,1285884000000,20;6673;83
data,1285884000000,20;2716;83
data,1285884000000,21;2147;83
data,1285884000000,21;3475;83
data,1285884000000,21;6714;84
data,1285884000000,21;918;84
data,1285884000000,22;6736;84
data,1285884000000,22;6743;84
data,1285884000000,22;541;85
data,1288566000000,22;869;85
data,1288566000000,22;6777;86
data,1288566000000,22;6790;86
data,1288566000000,22;1499;86
data,1288566000000,23;6814;86
data,1288566000000,23;6837;86
data,1288566000000,23;2358;86
data,1288566000000,23;2681;87
data,1291158000000,23;3818;87
data,1291158000000,23;2251;87
data,1291158000000,23;6887;88
data,1291158000000,23;6907;88
data,1291158000000,24;5068;88
data,1291158000000,24;6929;88
data,1291158000000,24;2953;88
data,1291158000000,24;6950;88
data,1291158000000,24;2377;88
data,1291158000000,24;4190;88
data,1291158000000,24;3231;89
data,1291158000000,24;6996;90
data,1291158000000,24;2737;91
data,1291158000000,24;7026;91
data,1291158000000,24;371;91
data,1291158000000,24;7057;91
data,1291158000000,24;7058;92
data,1291158000000,24;3373;92
data,1291158000000,24;2355;93
data,1291158000000,24;3899;93
data,1291158000000,24;7111;94
data,1293836400000,24;7127;94
data,1293836400000,24;7144;94
data,1293836400000,24;7155;94
data,1293836400000,24;7160;95
data,1293836400000,24;7111;96
data,1293836400000,24;7183;96
data,1293836400000,24;7196;96
data,1293836400000,24;327;96
data,1293836400000,24;7211;97
data,1293836400000,24;3860;97
data,1293836400000,24;2706;97
data,1293836400000,24;7246;98
data,1293836400000,24;7260;98
data,1293836400000,24;3144;99
data,1293836400000,24;7278;99
data,1293836400000,24;1901;99
data,1293836400000,24;2380;99
data,1293836400000,25;1322;99
data,1293836400000,25;5048;99
data,1296514800000,25;899;99
data,1296514800000,25;7327;100
data,1298934000000,25;3438;100
data,1298934000000,25;7350;100
data,1298934000000,25;3860;100
data,1298934000000,25;7378;100
data,1304596135526,25;3523;100
data,1212271200000,25;4896;100
data,1212271200000,25;7410;100
data,1212271200000,25;7426;100
data,1212271200000,25;6595;100
data,1212271200000,25;7441;100
data,1212271200000,25;7460;100
data,1212271200000,25;7466;100
data,1212271200000,25;7472;101
data,1212271200000,25;1437;101
data,1212271200000,25;7495;102
data,1212271200000,25;4551;103
data,1212271200000,25;7515;103
data,1212271200000,25;7140;104
data,1212271200000,25;4165;105
data,1212271200000,25;2763;106
data,1212271200000,25;7544;106
data,1212271200000,25;7556;106
data,1212271200000,25;7566;107
data,1212271200000,25;5192;108
data,1212271200000,25;5851;108
data,1212271200000,25;1639;109
data,1212271200000,25;7605;110
data,1212271200000,25;1020;111
data,1212271200000,25;7624;112
data,1212271200000,25;7643;112
data,1212271200000,26;3442;113
data,1212271200000,26;4207;113
data,1212271200000,26;6242;113
data,1212271200000,26;6772;113
data,1212271200000,26;7677;114
data,1212271200000,26;4497;115
data,1212271200000,27;5358;115
data,1212271200000,27;2927;116
data,1212271200000,27;6667;117
data,1212271200000,27;7716;118
data,1212271200000,27;322;119
data,1212271200000,27;7735;120
data,1212271200000,27;6232;120
data,1212271200000,27;7754;121
data,1212271200000,27;2362;121
data,1212271200000,27;7775;122
data,1212271200000,27;5930;123
data,1212271200000,27;2266;124
data,1212271200000,27;5490;125
data,1212271200000,27;2991;125
data,1212271200000,27;5795;126
data,1212271200000,27;6467;126
data,1214863200000,27;7848;126
data,1214863200000,27;1302;127
data,1214863200000,27;7168;127
data,1214863200000,27;3335;127
data,1214863200000,27;7883;127
data,1217541600000,27;7892;127
data,1217541600000,27;2159;127
data,1217541600000,27;3179;127
data,1217541600000,27;1265;128
data,1217541600000,27;7037;128
data,1217541600000,27;2644;128
data,1217541600000,27;4451;128
data,1217541600000,27;6922;129
data,1217541600000,27;7963;130
data,1217541600000,27;7975;130
data,1217541600000,27;4568;130
data,1217541600000,27;422;130
data,1217541600000,27;6400;130
data,1217541600000,28;8011;131
data,1217541600000,28;4630;131
data,1217541600000,28;96;131
data,1217541600000,28;8042;131
data,1217541600000,28;8063;131
data,1217541600000,28;5622;131
data,1217541600000,28;3955;131
data,1217541600000,28;8081;131
data,1217541600000,29;8091;131
data,1217541600000,29;4502;131
data,1217541600000,29;7093;131
data,1217541600000,29;8110;131
data,1217541600000,29;181;131
data,1217541600000,29;8136;131
data,1217541600000,29;8139;131
data,1217541600000,29;8156;131
data,1217541600000,29;8041;131
data,1217541600000,29;1056;132
data,1217541600000,29;4532;133
data,1217541600000,30;1601;133
data,1217541600000,30;6647;133
data,1217541600000,30;3151;133
data,1217541600000,30;8211;133
data,1217541600000,30;7883;133
data,1217541600000,31;8230;133
data,1217541600000,31;1437;133
data,1217541600000,31;3285;133
data,1217541600000,31;8256;133
data,1217541600000,31;8264;133
data,1217541600000,31;8274;133
data,1217541600000,31;8287;133
data,1217541600000,31;6111;133
data,1217541600000,31;5718;133
data,1217541600000,31;8316;133
data,1217541600000,31;8324;133
data,1217541600000,31;8340;133
data,1217541600000,31;8355;133
data,1217541600000,31;8370;133
data,1217541600000,31;8375;133
data,1217541600000,32;4585;133
data,1217541600000,32;6732;133
data,1217541600000,32;8407;133
data,1217541600000,32;8416;133
data,1217541600000,32;8418;133
data,1217541600000,32;8431;133
data,1217541600000,32;8435;134
data,1220220000000,32;4361;134
data,1304596176284,32;6109;134
data,1304596177553,33;8466;134
data,1304596187726,33;8475;134
data,1304596191912,33;3566;134
data,1304596194417,33;2507;134
data,1304596197640,33;8491;134
data,1304596214214,33;8502;134
data,1304596215240,33;5800;134
data,1304596223989,33;8517;134
data,1304596226144,33;8522;134
data,1209592800000,33;7801;134
data,1209592800000,33;661;135
data,1209592800000,33;8550;135
data,1209592800000,33;7950;135
data,1212271200000,33;7777;135
data,1214863200000,33;3842;136
data,1222812000000,33;8572;136
data,1228086000000,33;7438;136
data,1228086000000,33;8592;136
data,1275343200000,33;8597;136
data,1275343200000,33;8606;136
data,1277935200000,33;8612;136
data,1277935200000,33;8460;136
data,1277935200000,33;8633;136
data,1277935200000,33;8640;136
data,1277935200000,33;8653;136
data,1277935200000,33;945;136
data,1277935200000,33;8665;136
data,1280613600000,33;1936;136
data,1280613600000,33;1228;136
data,1280613600000,33;8687;136
data,1280613600000,33;1052;136
data,1285884000000,33;8086;136
data,1285884000000,33;3398;136
data,1285884000000,33;4015;136
data,1285884000000,33;989;136
data,1285884000000,33;4630;136
data,1285884000000,33;3887;136
data,1285884000000,33;8438;136
data,1285884000000,33;6979;136
data,1285884000000,33;8530;136
data,1285884000000,33;3764;136
data,1285884000000,33;6797;136
data,1285884000000,33;2480;136
data,1285884000000,33;4436;136
data,1285884000000,33;5289;136
data,1285884000000,33;7325;136
data,1285884000000,33;8518;136
data,1285884000000,33;8815;136
data,1285884000000,33;7343;136
data,1285884000000,33;7300;136
data,1285884000000,33;8838;136
data,1285884000000,33;398;136
data,1285884000000,33;1820;136
data,1288566000000,33;7164;136
data,1288566000000,33;3860;136
data,1288566000000,33;1635;136
data,1288566000000,33;4237;136
data,1288566000000,33;2022;136
data,1288566000000,33;8880;136
data,1288566000000,33;8887;136
data,1288566000000,33;3503;136
data,1288566000000,33;7483;136
data,1291158000000,33;6819;136
data,1291158000000,33;8550;136
data,1291158000000,33;8917;136
data,1291158000000,33;8931;136
data,1291158000000,33;8739;136
data,1293836400000,33;8952;136
data,1293836400000,33;5289;136
data,1296514800000,33;3774;136
data,1296514800000,33;5786;137
data,1298934000000,33;8984;137
data,1304596239074,33;3714;137
data,1304596242695,33;7742;137
data,1304596260969,33;6168;137
data,1304596272248,33;9015;137
data,1304596273351,33;5876;137
data,1283292000000,34;1390;137
data,1283292000000,34;4705;137
data,1283292000000,34;3106;137
data,1283292000000,34;9046;137
data,1283292000000,34;863;137
data,1291158000000,34;9061;137
data,1291158000000,34;9077;137
data,1291158000000,34;1907;137
data,1291158000000,34;777;137
data,1291158000000,35;9097;137
data,1291158000000,36;9103;137
data,1293836400000,36;516;138
data,1293836400000,36;5470;139
data,1293836400000,36;516;140
data,1296514800000,36;5718;141
data,1296514800000,36;4168;142
data,1296514800000,36;245;143
data,1296514800000,36;5781;143
data,1296514800000,36;5470;144
data,1296514800000,36;8435;145
data,1296514800000,36;4958;146
data,1296514800000,36;8435;147
data,1296514800000,36;3103;148
data,1296514800000,36;721;148
data,1296514800000,36;8045;148
data,1296514800000,36;9190;148
data,1296514800000,36;516;149
data,1296514800000,36;1016;150
data,1296514800000,36;9180;151
data,1296514800000,36;5834;151
data,1296514800000,36;899;151
data,1296514800000,36;8517;151
data,1296514800000,36;131;152
data,1296514800000,36;8435;153
data,1296514800000,36;6513;153
data,1296514800000,36;4483;153
data,1296514800000,36;7735;153
data,1296514800000,36;1474;153
data,1296514800000,36;5101;153
data,1296514800000,36;4958;154
data,1296514800000,36;5625;154
data,1296514800000,36;131;155
data,1296514800000,36;9284;155
data,1296514800000,36;516;156
data,1296514800000,36;516;157
data,1296514800000,36;245;158
data,1296514800000,36;5470;159
data,1296514800000,36;4212;159
data,1298934000000,36;8435;160
data,1298934000000,36;8567;160
data,1298934000000,36;8435;161
data,1298934000000,36;1706;161
data,1298934000000,36;3127;162
data,1298934000000,36;516;163
data,1298934000000,36;2927;163
data,1298934000000,36;5851;164
data,1298934000000,36;7735;164
data,1298934000000,36;9048;164
data,1298934000000,36;1565;164
data,1298934000000,36;8435;165
data,1298934000000,36;516;166
data,1298934000000,36;3127;167
data,1298934000000,36;516;168
data,1298934000000,36;245;169
data,1298934000000,36;5224;170
data,1298934000000,36;3127;171
data,1298934000000,36;8435;172
data,1298934000000,36;5358;172
data,1298934000000,36;3127;173
data,1298934000000,36;5224;174
data,1298934000000,36;516;175
data,1298934000000,36;1016;176
data,1298934000000,36;3127;177
data,1298934000000,36;989;177
data,1298934000000,36;1018;177
data,1298934000000,36;9485;177
data,1298934000000,37;8435;178
data,1298934000000,37;4958;179
data,1298934000000,37;8435;180
data,1298934000000,37;3578;180
data,1298934000000,37;8880;180
data,1298934000000,37;3489;180
data,1298934000000,37;4681;180
data,1298934000000,37;9367;181
data,1298934000000,37;3127;182
data,1298934000000,37;8435;183
data,1298934000000,37;2349;183
data,1298934000000,38;245;184
data,1298934000000,38;245;185
data,1298934000000,38;2491;185
data,1298934000000,38;5718;186
data,1298934000000,38;3127;187
data,1298934000000,38;9367;188
data,1298934000000,38;516;189
data,1298934000000,38;516;190
data,1298934000000,39;9082;191
data,1298934000000,39;8435;192
data,1298934000000,39;1016;193
data,1298934000000,39;7197;194
data,1298934000000,39;2731;194
data,1304596429856,39;84;194
data,1304596429049,39;3688;194
data,1304596429840,39;5048;194
data,1304596429340,39;7430;195
data,1304596429357,39;9653;196
data,1304596429273,39;4108;196
data,1304596429090,39;6999;197
data,1304596429027,39;2111;198
data,1304596429182,40;9673;198
data,1304596429124,40;2049;198
data,1304596429232,40;7848;198
data,1304596429074,40;3014;198
data,1304596429107,40;3742;198
data,1304596432786,40;9653;199
data,1304596432553,40;6912;199
data,1304596432678,40;7366;199
data,1304596432586,40;5839;199
data,1304596432770,40;7430;200
data,1304596432803,40;9732;200
data,1304596432645,40;168;201
data,1304596432537,41;3275;202
data,1304596432517,41;2111;203
data,1304596432720,41;6702;204
data,1304596433427,41;6999;205
data,1304596433585,41;9367;206
data,1304596433519,41;9771;206
data,1304596433535,42;516;207
data,1304596433444,42;1843;207
data,1304596433477,42;5470;208
data,1304596433552,42;6702;209
data,1304596433461,42;5224;210
data,1304596433410,42;2111;211
data,1304596433569,42;5718;212
data,1304596433610,42;8435;213
data,1304596433502,42;3127;214
data,1304596433627,42;7775;214
data,1304596435600,42;6456;214
data,1304596435733,42;9837;214
data,1304596435617,42;9842;214
data,1304596435533,42;1744;214
data,1304596435658,42;6702;215
data,1304596435708,42;7430;216
data,1304596435492,43;3275;217
data,1304596436275,43;1350;217
data,1304596437731,43;4497;217
data,1304596437839,43;5358;217
data,1304596437806,43;5470;218
data,1304596437709,43;2111;219
data,1304596437773,43;4215;219
data,1304596437914,43;9905;219
data,1304596437823,43;2855;220
data,1304596438039,43;6702;221
data,1304596438097,43;9653;222
data,1304596438988,43;2111;223
data,1304596439121,43;7430;224
data,1304596439063,43;6702;225
data,1304596439030,43;6582;225
data,1304596439706,43;6702;226
data,1304596439046,43;4320;226
data,1304596439154,43;1562;226
data,1304596440312,43;2111;227
data,1304596440328,43;6702;228
data,1304596441769,43;7430;229
data,1304596441785,43;9966;229
data,1304596441752,43;6675;229
data,1304596443491,43;3127;230
data,1304596443467,43;5224;231
data,1304596443433,43;6702;232
data,1304596443398,43;2111;233
data,1304596443450,43;6402;233
data,1304596443416,43;4857;233
data,1304596443508,43;9653;234
data,1304596444469,43;7397;234
data,1304596444499,43;1241;234
data,1304596444482,43;7197;235
data,1304596445832,43;8435;236
data,1304596445848,43;7430;237
data,1304596445790,43;6568;237
data,1304596447147,43;3103;238
data,1304596447130,44;2111;239
data,1304596447971,44;6999;240
data,1304596447107,44;2855;241
data,1304596447938,44;9485;241
data,1304596447197,44;6702;242
data,1304596447954,44;3103;243
data,1304596447988,44;1016;244
data,1304596447288,44;9653;245
data,1304596447164,44;7197;246
data,1304596448138,44;7430;247
data,1304596448046,44;1101;247
data,1304596448154,44;8375;247
data,1304596448096,44;10107;247
data,1304596448063,44;3127;248
data,1304596448121,44;9367;249
data,1304596448029,44;5224;250
data,1304596448079,44;914;250
data,1304596448712,44;3275;251
data,1304596448013,44;245;252
data,1304596449570,44;3103;253
data,1304596449669,44;9653;254
data,1304596449636,44;7430;255
data,1304596450735,44;3095;255
data,1304596450723,44;3103;256
data,1304596450851,44;4327;256
data,1304596450835,44;8435;257
data,1304596450793,44;10177;257
data,1304596450244,44;3127;258
data,1304596450818,44;131;259
data,1304596450190,44;516;260
data,1304596450210,44;8435;261
data,1304596451393,44;1350;261
data,1304596453865,44;1016;262
data,1304596453832,44;6999;263
data,1304596453940,44;5536;263
data,1304596453973,44;7197;264
data,1304596453898,44;4313;264
data,1304596453815,45;5408;264
data,1304596453956,45;2855;265
data,1304596454023,45;6702;266
data,1304596454006,45;9141;266
data,1304596454065,45;6724;266
data,1304596455056,45;6999;267
data,1304596455088,45;6702;268
data,1304596455030,46;7197;269
data,1304596455014,46;9180;270
data,1304596455986,46;2111;271
data,1304596455072,46;6670;272
data,1304596455163,46;971;272
data,1304596456096,46;9802;272
data,1304596456112,46;9653;273
data,1304596456021,46;9802;273
data,1304596456079,46;7430;274
data,1304596458131,46;2111;275
data,1304596458194,46;3095;275
data,1304596458378,46;7197;276
data,1304596458393,46;6702;277
data,1304596458486,46;7430;278
data,1304596459127,46;6702;279
data,1304596459192,46;7430;280
data,1304596459079,46;2111;281
data,1304596459101,46;7160;281
data,1304596459209,46;9653;282
data,1304596459176,46;7205;282
data,1304596460233,46;4453;282
data,1304596460325,46;8788;282
data,1304596460341,46;566;282
data,1304596460217,46;5470;283
data,1304596460266,47;2855;284
data,1304596460283,47;7197;285
data,1304596460400,47;3868;285
data,1304596460125,47;9180;286
data,1304596460175,47;1168;286
data,1304596461199,47;7775;286
data,1304596461090,47;8820;286
data,1304596461215,47;6907;286
data,1304596461057,47;3103;287
data,1304596461182,47;8435;288
data,1304596461041,47;2111;289
data,1304596461787,47;6702;290
data,1304596461074,47;9180;291
data,1304596462417,48;2111;292
data,1304596462581,49;9653;293
data,1304596462547,49;7430;294
data,1304596462481,49;6702;295
data,1304596463257,49;10414;295
data,1304596463289,49;9653;296
data,1304596463272,49;5470;297
data,1304596463231,49;4915;297
data,1304596463164,49;76;297
data,1304596463198,49;6702;298
data,1304596463142,49;2111;299
data,1304596464697,49;1016;300
data,1304596465653,49;3127;301
data,1304596465575,49;2111;302
data,1304596467368,49;516;303
data,1304596467476,49;5856;303
data,1304596467385,49;10460;303
data,1304596467460,49;9490;303
data,1304596467351,49;7197;304
data,1304596468367,49;8503;304
data,1304596468307,49;9180;305
data,1304596468384,49;8665;305
data,1304596471272,49;3127;306
data,1304596471197,49;2111;307
data,1304596471214,49;6702;308
data,1304596471289,49;9653;309
data,1304596471231,49;8435;310
data,1304596471257,50;8502;310
data,1304596472879,50;6702;311
data,1304596472813,50;2111;312
data,1304596472970,50;7430;313
data,1304596472912,50;10516;313
data,1304596473004,51;9653;314
data,1304596474266,51;7566;314
data,1304596474361,51;9653;315
data,1304596475325,51;2111;316
data,1304596475451,51;7430;317
data,1304596475484,51;9653;318
data,1304596475368,52;6702;319
data,1304596476492,52;131;320
data,1304596476575,52;7430;321
data,1304596476425,52;6258;321
data,1304596476360,52;10561;321
